id	sample01	sample02	sample03	sample04	sample05	sample06	sample07	sample08	sample09	sample10	sample11	sample12	sample13	sample14	sample15	sample16	sample17	sample18	sample19	sample20	sample21	sample22	sample23	sample24	sample25	sample26	sample27	sample28	sample29	sample30	sample31	sample32	sample33	sample34	sample35	sample36	sample37	sample38	sample39	sample40	sample41	sample42	sample43	sample44	sample45	sample46	sample47	sample48	sample49	sample50	sample51	sample52	sample53	sample54	sample55	sample56	sample57	sample58	sample59	sample60	sample61	sample62	sample63	sample64	sample65	sample66	sample67	sample68	sample69	sample70	sample71	sample72	sample73	sample74	sample75	sample76	sample77	sample78	sample79	sample80	sample81	sample82	sample83	sample84	sample85	sample86	sample87	sample88	sample89	sample90	sample91	sample92	sample93	sample94	sample95	sample96
TOB5_000000033	24	5	9	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TOB5_000000034	20	36	11	7	6	14	22	28	6	33	11	2	49	0	12	24	49	2	0	0	2	0	2	1	0	2	0	2	0	1	1	0	1	0	1	22	0	1	3	11	7	0	1	5	19	35	95	76	79	36	5	39	53	67	61	48	11	10	55	2	2	17	47	0	0	0	0	0	0	73	128	77	73	45	83	34	12	19	219	138	136	57	83	135	55	33	26	4	12	20	26	11	6	13	14	0
TOB5_000000035	23	22	24	16	12	40	37	30	4	12	7	3	3	0	1	4	5	5	0	0	2	0	2	5	0	2	0	2	0	0	1	0	1	0	0	5	0	1	0	0	1	0	0	3	31	54	11	2	6	4	1	55	16	20	12	14	7	7	33	1	2	16	6	0	0	0	0	0	0	14	39	27	28	66	57	13	4	8	9	9	48	17	6	7	6	19	11	4	7	9	47	13	9	21	8	0
TOB5_000000036	24	29	24	7	19	19	60	56	0	0	22	2	0	0	0	1	1	3	0	0	5	0	1	1	0	4	0	14	2	0	2	4	39	1	23	23	1	1	3	0	3	0	5	1	6	3	0	0	0	0	0	22	0	5	2	2	8	30	110	15	2	68	39	0	2	1	1	4	0	10	103	61	5	1	1	117	15	69	1	2	0	0	2	1	2	18	30	5	17	52	43	38	9	24	26	0
TOB5_000000037	19	10	46	7	2	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TOB5_000000038	20	60	43	13	9	58	47	46	1	4	29	6	12	0	3	6	8	4	0	0	2	0	11	4	0	4	0	9	0	0	1	0	2	0	3	29	0	1	3	0	9	0	1	2	11	29	18	12	14	6	1	39	8	41	26	16	19	22	143	2	2	58	103	0	0	0	0	0	74	104	160	112	32	40	72	25	6	16	73	41	78	20	31	65	46	110	60	11	15	61	86	25	13	63	21	0
TOB5_000000040	25	557	40	4	5	13	18	68	1	3	14	2	2	0	1	4	4	29	1	0	1	2	0	1	0	4	3	10	0	1	1	0	0	0	0	9	0	0	0	0	41	0	0	1	2	2	5	9	5	7	2	2	2	10	3	3	4	14	32	0	1	12	10	0	0	0	1	0	0	4	2	1	0	1	1	1	0	0	19	27	9	1	13	22	15	11	9	1	8	41	191	90	23	8	1	0
TOB5_000000041	25	30	17	10	7	10	19	16	0	0	1	0	0	0	0	1	1	3	0	0	0	1	2	3	0	12	0	2	1	0	0	0	0	0	0	1	0	0	0	0	1	0	1	3	3	5	1	0	1	0	0	8	0	1	1	2	0	0	3	0	0	2	3	0	0	0	0	0	0	6	99	32	4	5	6	9	3	4	3	6	0	0	3	8	4	3	3	1	2	3	3	2	0	1	4	0
TOB5_000000042	21	21	16	9	3	4	4	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	22	7	1	0	0	14	6	24	1	1	2	0	1	4	33	6	14	1	7	14	16	24	7	6	17	0
TOB5_000000043	25	8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
