id	Kingdom	Phylum	Class	Order	Family	Genus	Species
TOB5_000063901	Alveolata	Dinoflagellata	Dinophyceae	Syndiniales	Amoebophryaceae	Amoebophrya	Amoebophrya sp. ex Gonyaulax polygramma
TOB5_000063939	Rhizaria	Cercozoa	Imbricatea	Thaumatomonadida	Thaumatomastigidae	Protaspis	Protaspis_unclass
TOB5_000063944	Eukaryota	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass
TOB5_000063988	Eukaryota	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass
TOB5_000064019	Rhizaria	Cercozoa	Imbricatea	Thaumatomonadida	Thaumatomastigidae	Thaumatomastigidae_unclass	Thaumatomastigidae_unclass
TOB5_000064022	Eukaryota	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass
TOB5_000064024	Alveolata	Dinoflagellata	Dinophyceae	Dinophyceae_unclass	Dinophyceae_unclass	Dinophyceae_unclass	Dinophyceae_unclass
TOB5_000064044	Alveolata	Ciliophora	Spirotrichea	Euplotida	Euplotidae	Euplotidae_unclass	Euplotidae_unclass
TOB5_000064069	Eukaryota	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass
TOB5_000064074	Eukaryota	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass
TOB5_000064075	Stramenopiles	Bacillariophyta	Bacillariophyceae	Bacillariophyceae_unclass	Bacillariophyceae_unclass	Bacillariophyceae_unclass	Bacillariophyceae_unclass
TOB5_000064083	Hacrobia	Cryptophyta	Cryptophyta_unclass	Cryptophyta_unclass	Cryptophyta_unclass	Cryptophyta_unclass	Cryptophyta_unclass
TOB5_000064092	Hacrobia	Cryptophyta	Cryptophyceae	Pyrenomonadales	Chroomonadaceae	Falcomonas	Falcomonas daucoides
TOB5_000064108	Eukaryota	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass
TOB5_000064109	Alveolata	Ciliophora	Litostomatea	Cyclotrichida	Mesodiniidae	Askenasia	Askenasia_unclass
TOB5_000064126	Fungi	Chytridiomycota	Chytridiomycetes	Chytridiomycetes_unclass	Chytridiomycetes_unclass	Chytridiomycetes_unclass	Chytridiomycetes_unclass
TOB5_000064132	Hacrobia	Cryptophyta	Cryptophyceae	Pyrenomonadales	Chroomonadaceae	Falcomonas	Falcomonas daucoides
TOB5_000064150	Eukaryota	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass
TOB5_000064161	Rhizaria	Cercozoa	Imbricatea	Thaumatomonadida	Thaumatomastigidae	Thaumatomastigidae_unclass	Thaumatomastigidae_unclass
TOB5_000064174	Eukaryota	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass
TOB5_000064212	Eukaryota	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass
